------------------------------------------------------------------------------------------
--- Kernel logs (dmesg) ---
<3>[14057.995150] DL data not available
<3>[14058.015133] DL data not available
<3>[14058.035135] DL data not available
<3>[14058.055133] DL data not available
<3>[14058.075146] DL data not available
<3>[14058.095137] DL data not available
<3>[14058.115137] DL data not available
<3>[14058.135137] DL data not available
<3>[14058.155139] DL data not available
<3>[14058.175175] DL data not available
<3>[14058.195147] DL data not available
<3>[14058.215158] DL data not available
<3>[14058.235138] DL data not available
<3>[14058.255142] DL data not available
<3>[14058.275159] DL data not available
<3>[14058.295150] DL data not available
<3>[14058.315136] DL data not available
<3>[14058.335130] DL data not available
<3>[14058.355140] DL data not available
<3>[14058.375137] DL data not available
<3>[14058.395140] DL data not available
<3>[14058.415145] DL data not available
<3>[14058.435135] DL data not available
<3>[14058.455146] DL data not available
<3>[14058.475140] DL data not available
<3>[14058.495138] DL data not available
<3>[14058.515146] DL data not available
<3>[14058.535135] DL data not available
<3>[14058.555133] DL data not available
<3>[14058.575145] DL data not available
<3>[14058.595135] DL data not available
<3>[14058.615134] DL data not available
<3>[14058.635142] DL data not available
<3>[14058.655141] DL data not available
<3>[14058.675136] DL data not available
<3>[14058.695133] DL data not available
<3>[14058.715139] DL data not available
<3>[14058.735136] DL data not available
<3>[14058.755131] DL data not available
<3>[14058.775131] DL data not available
<3>[14058.795133] DL data not available
<3>[14058.815131] DL data not available
<3>[14058.835141] DL data not available
<3>[14058.855138] DL data not available
<3>[14058.875138] DL data not available
<3>[14058.895132] DL data not available
<3>[14058.915141] DL data not available
<3>[14058.935132] DL data not available
<3>[14058.955139] DL data not available
<3>[14058.975133] DL data not available
<3>[14058.990949] wlan: [9892:E :DAT] dxeTXCompFrame :ARP packet DMA-ed 
<3>[14058.995145] DL data not available
<3>[14059.015155] DL data not available
<3>[14059.035134] DL data not available
<3>[14059.055158] DL data not available
<3>[14059.075186] DL data not available
<3>[14059.095134] DL data not available
<3>[14059.115145] DL data not available
<3>[14059.135135] DL data not available
<3>[14059.155133] DL data not available
<3>[14059.175149] DL data not available
<3>[14059.195144] DL data not available
<3>[14059.215142] DL data not available
<3>[14059.235133] DL data not available
<3>[14059.255131] DL data not available
<3>[14059.275137] DL data not available
<3>[14059.295134] DL data not available
<3>[14059.315160] DL data not available
<3>[14059.335130] DL data not available
<3>[14059.355159] DL data not available
<3>[14059.375137] DL data not available
<3>[14059.395134] DL data not available
<3>[14059.415136] DL data not available
<3>[14059.435132] DL data not available
<3>[14059.455132] DL data not available
<3>[14059.475145] DL data not available
<3>[14059.495139] DL data not available
<3>[14059.515148] DL data not available
<3>[14059.535135] DL data not available
<3>[14059.555128] DL data not available
<3>[14059.575135] DL data not available
<3>[14059.595133] DL data not available
<3>[14059.615170] DL data not available
<3>[14059.635180] DL data not available
<3>[14059.655140] DL data not available
<3>[14059.675141] DL data not available
<3>[14059.695144] DL data not available
<3>[14059.715137] DL data not available
<3>[14059.735140] DL data not available
<3>[14059.755144] DL data not available
<3>[14059.775139] DL data not available
<3>[14059.795132] DL data not available
<3>[14059.815129] DL data not available
<3>[14059.835133] DL data not available
<3>[14059.855127] DL data not available
<3>[14059.875146] DL data not available
<3>[14059.895132] DL data not available
<3>[14059.915131] DL data not available
<3>[14059.935146] DL data not available
<3>[14059.955138] DL data not available
<3>[14059.975133] DL data not available
<3>[14059.995141] DL data not available
<3>[14060.015142] DL data not available
<3>[14060.035134] DL data not available
<3>[14060.055133] DL data not available
<3>[14060.075137] DL data not available
<3>[14060.095151] DL data not available
<3>[14060.115130] DL data not available
<3>[14060.135132] DL data not available
<3>[14060.155131] DL data not available
<3>[14060.175156] DL data not available
<3>[14060.195132] DL data not available
<3>[14060.215132] DL data not available
<3>[14060.235158] DL data not available
